序号,技能名,工作设施,产物限定,干员,需求精英,效率值,游戏原文
1,浮生得闲,控制中枢,,老鲤,精0,,当与阿进驻控制中枢一起工作时，控制中枢内所有干员心情每小时恢复+0.25
2,老友相聚,控制中枢,,涤火杰西卡,精2,,进驻控制中枢时，自身心情每小时消耗+0.5；每个进驻在制造站的黑钢国际干员，生产力+5%
3,反抗者,控制中枢,,艾拉,精2,,进驻控制中枢时，更容易获得线索板上尚未拥有的线索，但控制中枢内除自身以外的其余干员心情每小时消耗+0.25
4,神经质,控制中枢,,阿,精0,,进驻控制中枢时，提升会客室内干员所属派系的线索倾向效果，但控制中枢内所有干员的心情每小时消耗+1.5
5,至察,控制中枢,,惊蛰,精0,,进驻控制中枢时，小幅提升会客室内干员所属派系的线索倾向效果，但控制中枢内所有干员的心情每小时消耗+0.5
6,断事如神,控制中枢,,惊蛰,精2,,进驻控制中枢时，小幅提升会客室内干员所属派系的线索倾向效果
7,“一千封信”,控制中枢,,海蒂,精2,,进驻控制中枢时，会客室更容易获得格拉斯哥帮线索（工作时长影响概率）
8,“山河远阔”,控制中枢,,令,精2,,进驻控制中枢时，当自身心情大于12时，人间烟火+15；当自身心情处于12以下时，感知信息+10
9,偶像光环,控制中枢,,三角初华,精0,,进驻控制中枢时，宿舍内每有1名干员，热情值+1
10,羁绊相生,控制中枢,,三角初华,精2,,进驻控制中枢时，所有宿舍内所有干员的心情每小时恢复+0.05（同种效果取最高）；当与丰川祥子一起进驻控制中枢时，丰川祥子的心情每小时恢复+0.1
11,领袖,控制中枢,,焰影苇草,精1,,进驻控制中枢时，所有宿舍内所有干员的心情每小时恢复+0.05（同种效果取最高）
12,战纹,控制中枢,,红隼,精0,,进驻控制中枢时，所有宿舍内所有干员的心情每小时恢复+0.05（同种效果取最高）
13,巡心,控制中枢,,妮芙,精2,,进驻控制中枢时，所有宿舍内所有干员的心情每小时恢复+0.05（同种效果取最高）
14,无言的慈爱,控制中枢,,电弧,精2,,进驻控制中枢时，所有宿舍内精英干员的心情每小时恢复+0.1（同种效果取最高）
15,杯莫停,控制中枢,,令,精0,,进驻控制中枢时，消除当前控制中枢内所有岁干员自身心情消耗的影响
16,可靠伙伴,控制中枢,,八幡海铃,精0,,进驻控制中枢时，热情值+10；人脉资源的联络速度+10%（同种效果取最高）
17,感染力,控制中枢,,琴柳,精2,,进驻控制中枢时，人力办公室联络速度小于30%时（其中包含基础联络速度5%），则联络速度额外+20%（该加成全局效果唯一，不受其它加成影响）
18,英雄的骄傲·α,控制中枢,,摆渡人,精0,,进驻控制中枢时，基建内（不包含副手及活动室使用者）每有1名米诺斯干员，会客室线索搜集速度+4%（最多+20%，同种效果取最高）；当与萨尔贡干员进驻控制中枢一起工作时，自身心情每小时消耗+0.02
19,英雄的骄傲·β,控制中枢,,摆渡人,精1,,进驻控制中枢时，基建内（不包含副手及活动室使用者）每有1名米诺斯干员，会客室线索搜集速度+5%（最多+25%，同种效果取最高）；当与萨尔贡干员进驻控制中枢一起工作时，自身心情每小时消耗+0.02
20,同谋·α,控制中枢,,维什戴尔,精0,,进驻控制中枢时，当伊内丝入驻会客室时，会客室线索搜集速度+5%；当赫德雷入驻贸易站时，赫德雷所在贸易站订单上限+1
21,同谋·β,控制中枢,,维什戴尔,精2,,进驻控制中枢时，当伊内丝入驻会客室时，会客室线索搜集速度+5%；当赫德雷入驻贸易站时，赫德雷所在贸易站订单上限+2
22,“是，团长！”,控制中枢,,怒潮凛冬,精2,,进驻控制中枢时，自身心情每小时消耗+0.5，每个进驻在会客室的乌萨斯学生自治团干员，线索搜集速度+10%
23,勤学苦练,控制中枢,,祐天寺若麦,精0,,进驻控制中枢时，热情值+10；会客室线索搜集速度提升+5%（同种效果取最高）
24,成效优先,控制中枢,,祐天寺若麦,精2,,当与丰川祥子一起进驻控制中枢时，丰川祥子心情每小时消耗+0.05，会客室线索搜集速度额外提升+5%（同种效果取最高）
25,潮汐守望,控制中枢,,歌蕾蒂娅,精0,,进驻控制中枢时，每有1个深海猎人干员进驻在宿舍以外的设施，则自身心情每小时消耗+0.5；反之则自身心情每小时恢复+0.5，如果进驻在宿舍内的深海猎人干员为满心情，则额外+0.5
26,集群狩猎·α,控制中枢,,歌蕾蒂娅,精0,,进驻控制中枢时，控制中枢内所有干员的心情每小时恢复+0.05；基建内（不包含副手及活动室使用者）深海猎人干员获得特殊加成（与部分技能有特殊叠加规则）
27,集群狩猎·β,控制中枢,,歌蕾蒂娅,精2,,进驻控制中枢时，控制中枢内所有干员的心情每小时恢复+0.05；基建内（不包含副手及活动室使用者）深海猎人干员获得特殊加成（与部分技能有特殊叠加规则）
28,演技的怪物,控制中枢,,若叶睦,精0,,进驻控制中枢时，热情值+20；每有8点热情值，自身心情每小时消耗+0.01，所有贸易站订单效率+1%（同种效果取最高）
29,团队合作,控制中枢,,火龙S黑角,精0,,进驻控制中枢时，控制中枢内每有1名怪物猎人小队干员，则木天蓼+2
30,情报储备,控制中枢,,灰烬,精2,,进驻控制中枢时，控制中枢内每有1名彩虹小队干员，则情报储备+1
31,乌萨斯特饮,控制中枢,,战车,精2,,进驻控制中枢时，控制中枢内每有1名乌萨斯学生自治团干员，则乌萨斯特饮+1
32,孤光共照,控制中枢,,重岳,精2,,进驻控制中枢时，其他设施内处于工作状态的干员心情每小时恢复+0.05；同时每有20点人间烟火，则额外+0.05，（与控制中枢加成有特殊比较规则）
33,"""不以物喜""",控制中枢,,夕,精0,,进驻控制中枢时，控制中枢内所有干员的心情每小时恢复+0.05；当自身心情处于12以下时，人间烟火+15
34,"""不以己悲""",控制中枢,,夕,精0,,进驻控制中枢时，自身心情每小时消耗+0.5；当自身心情大于12时，感知信息+10
35,耐力回复,控制中枢,,麒麟R夜刀,精0,,进驻控制中枢时，自身心情每小时消耗+0.5，木天蓼+8
36,生活的重压,控制中枢,,丰川祥子,精0,,进驻控制中枢时，热情值处于40点及以上时，自身心情每小时消耗+0.05
37,知我为我,控制中枢,,重岳,精0,,进驻控制中枢时，自身心情每小时消耗+0.5；每个岁干员进驻在宿舍和活动室以外的设施则人间烟火+5（最多5名）
38,坚毅随和,控制中枢,,吽,精2,,进驻控制中枢时，控制中枢内每个鲤氏侦探事务所干员可使该派系干员额外恢复心情，同时每人可使控制中枢内所有干员的心情每小时恢复+0.2
39,德才兼备,控制中枢,,陈,精0,,进驻控制中枢时，控制中枢内每个龙门近卫局干员可使控制中枢内所有干员的心情每小时恢复+0.05
40,学生会会长,控制中枢,,早露,精0,,进驻控制中枢时，控制中枢内每个乌萨斯学生自治团干员可使控制中枢内所有干员的心情每小时恢复+0.05
41,幕后指挥,控制中枢,,灵知,精0,,进驻控制中枢时，控制中枢内每个谢拉格干员可使控制中枢内所有干员的心情每小时恢复+0.05
42,异格者,控制中枢,,寒芒克洛丝；濯尘芙蓉；炎狱炎熔,精0,,进驻控制中枢时，控制中枢内每个异格干员可使控制中枢内所有干员的心情每小时恢复+0.05
43,彩虹小队,控制中枢,,战车；灰烬；闪击；霜华,精0,,进驻控制中枢时，控制中枢内每个彩虹小队干员可使控制中枢内所有干员的心情每小时恢复+0.05
44,左膀右臂,控制中枢,,临光；杜宾,精0,,进驻控制中枢时，控制中枢内所有干员的心情每小时恢复+0.05
45,S.W.E.E.P.,控制中枢,,清道夫；红,精0,,进驻控制中枢时，控制中枢内所有干员的心情每小时恢复+0.05
46,零食网络,控制中枢,,坚雷,精1,,进驻控制中枢时，控制中枢内所有干员的心情每小时恢复+0.05
47,清理协议,控制中枢,,送葬人,精2,,进驻控制中枢时，控制中枢内所有干员的心情每小时恢复+0.05
48,替身,控制中枢,,苇草,精2,,进驻控制中枢时，控制中枢内所有干员的心情每小时恢复+0.05
49,必要责任,控制中枢,,灰喉,精0,,进驻控制中枢时，控制中枢内所有干员的心情每小时恢复+0.05
50,护卫,控制中枢,,暴雨,精0,,进驻控制中枢时，控制中枢内所有干员的心情每小时恢复+0.05
51,小小的领袖,控制中枢,,焰尾,精0,,进驻控制中枢时，控制中枢内所有干员的心情每小时恢复+0.05
52,独善其身,控制中枢,,玛恩纳,精0,,进驻控制中枢时，控制中枢内所有干员的心情每小时恢复+0.05
