skill_name,description,operators
家族经营·α,进驻贸易站时，订单获取效率+25%；当伺夜在基建内时（不包含副手及活动室使用者），订单获取效率额外+5%,贝洛内
家族经营·β,进驻贸易站时，订单获取效率+30%；当伺夜在基建内时（不包含副手及活动室使用者），订单获取效率额外+10%,贝洛内
外贸决议·β,进驻贸易站时，订单获取效率+30%；当前贸易站内存在格拉斯哥帮干员时，订单获取效率额外+10%,维娜·维多利亚
外贸决议·α,进驻贸易站时，订单获取效率+30%,维娜·维多利亚
对陆接洽代表·β,进驻贸易站时，订单获取效率+30%；当乌尔比安在基建内时（不包含副手及活动室使用者），订单获取效率额外+10%,深巡
对陆接洽代表·α,进驻贸易站时，订单获取效率+25%；当乌尔比安在基建内时（不包含副手及活动室使用者），订单获取效率额外+5%,深巡
白手起家·β,进驻贸易站时，订单获取效率+30%；当伊内丝、W入驻工作场所时（不包含副手），订单获取效率分别额外+5%,赫德雷
白手起家·α,进驻贸易站时，订单获取效率+25%；当伊内丝入驻工作场所时（不包含副手），订单获取效率额外+5%,赫德雷
招商引资,进驻贸易站时，当前贸易站内干员提升的每个订单上限，提供4%订单获取效率,琳琅诗怀雅
未偿还的债务,当与伺夜在同一个贸易站时，心情每小时消耗-0.1，订单上限+2,贝洛内
醉翁之意·α,当与德克萨斯在同一个贸易站时，心情每小时消耗-0.1，订单上限+2,拉普兰德
醉翁之意·β,当与德克萨斯在同一个贸易站时，心情每小时消耗-0.1，订单上限+4,拉普兰德
恩怨,当与拉普兰德在同一个贸易站时，心情每小时消耗+0.3，订单获取效率+65%,德克萨斯
默契,当与能天使在同一个贸易站时，心情每小时消耗-0.3,德克萨斯
低语,进驻贸易站时，当前贸易站内其他干员提供的订单获取效率全部归零，且每人为自身+45%订单获取效率，同时全体心情每小时消耗+0.25,巫恋
物流专家,进驻贸易站时，订单获取效率+35%,能天使
气氛组,进驻贸易站时，订单获取效率+35%,雷狼龙S空爆
名流欢会,进驻贸易站时，订单获取效率+35%,海蒂
天道酬勤·β,进驻贸易站时，当前贸易站内干员提供的每5%订单获取效率，额外提供5%效率，最多提供35%效率,雪雉
特别订单,进驻贸易站时，订单获取效率+10%，固定获取可露希尔特别订单（不视作违约订单）,可露希尔
慧眼独到,进驻贸易站时，固定获取特别独占订单（不视作违约订单），且该类订单不受任何订单获取效率的影响,佩佩
相伴,进驻贸易站时，订单获取效率+20%；当与能天使在同一个贸易站时，订单获取效率额外+25%,蕾缪安
同城加急单,进驻贸易站时，同个贸易站中每有1名拉特兰干员，当前贸易站订单获取效率+15%,新约能天使
交际,进驻贸易站时，订单获取效率+30%，心情每小时消耗-0.25,古米；月见夜；空爆
帮派指南针,进驻贸易站时，同个贸易站中每有1名格拉斯哥帮干员，当前贸易站订单获取效率+20%；当与推进之王在同一个贸易站时，订单获取效率额外+35%,摩根
勤俭经营·β,进驻贸易站时，贸易站内除自身以外每名处于工作状态的干员+20%订单获取效率,吉星
勤俭经营·α,进驻贸易站时，贸易站内除自身以外每名处于工作状态的干员+10%订单获取效率,吉星
代为说项,进驻贸易站时，贸易站内除自身以外每名处于工作状态的干员+15%订单获取效率,火哨
万里传书,进驻贸易站时，贸易站内全体干员每小时心情消耗-0.1，每有10点人间烟火，则额外-0.02,铎铃
跋山涉水,进驻贸易站时，贸易站内全体干员每小时心情消耗-0.1，每有10点人间烟火，则额外-0.01,铎铃
半身人公会代表,进驻贸易站时，订单获取效率+30%，且订单上限+1,齐尔查克
熟悉的味道,进驻贸易站时，每1点魔物料理+1%订单效率,齐尔查克
大巴扎管理学,进驻贸易站时，订单获取效率+30%，且订单上限+1,衡沙
使命必达,进驻贸易站时，订单获取效率+30%，且订单上限+1,可颂
少当家,进驻贸易站时，订单获取效率+30%，且订单上限+1,拜松
企鹅物流·β,进驻贸易站时，订单获取效率+30%,空
订单分发·β,进驻贸易站时，订单获取效率+30%,夜刀；夜烟；安比尔；慕斯；瑰盐；缠丸；芬
供应管理,进驻贸易站时，订单获取效率+25%，且订单上限+1,梓兰；玫兰莎；远山
天道酬勤·α,进驻贸易站时，当前贸易站内干员提供的每5%订单获取效率，额外提供5%效率，最多提供25%效率,雪雉
喀兰之主,进驻贸易站时，订单获取效率+20%，且订单上限+4,银灰
企鹅物流·α,进驻贸易站时，订单获取效率+20%,可颂；能天使
峯驰物流,进驻贸易站时，订单获取效率+20%,拜松
订单分发·α,进驻贸易站时，订单获取效率+20%,安德切尔；海蒂；深海色；琳琅诗怀雅；真言；蕾缪安；蛇屠箱；衡沙；风絮；香草
冠军风采,进驻贸易站时，当前贸易站内干员提升的每5个订单上限，提供25%订单获取效率，最多提供100%效率,锏
威压,进驻贸易站时，订单获取效率+20%，且订单上限-2（订单最少为1）,锏
不怒自威,进驻贸易站时，订单获取效率+25%，且订单上限-6（订单最少为1）,锏
喀兰贸易·β,进驻贸易站时，订单获取效率+15%，且订单上限+4,崖心
喀兰贸易·α,进驻贸易站时，订单获取效率+15%，且订单上限+2,角峰；讯使；银灰
队长的自觉,进驻贸易站时，订单上限+3，且每有一个泡影国狩猎小队干员进驻贸易站，订单获取效率+20%,焰狐龙梓兰
天真的谈判者,进驻贸易站时，订单获取效率+10%，当前贸易站赤金订单的赤金交付数必定为2（不视作违约订单）,U-Official
暖场,进驻贸易站时，贸易站内干员心情每小时消耗-0.1,火哨
订单管理·β,进驻贸易站时，订单获取效率+10%，且订单上限+4,四月；涤火杰西卡
订单管理·α,进驻贸易站时，订单获取效率+10%，且订单上限+2,四月；翎羽；黑角
可爱的艾露猫,进驻贸易站时，订单获取效率+5%，且订单上限+2，同时每有1个木天蓼，则订单获取效率+3%,泰拉大陆调查团
精准排期,进驻贸易站时，订单获取效率+30%，制造站每有1类配方进行加工，则当前贸易站订单获取效率额外+2%,石英
销路宣发,进驻贸易站时，每有1条赤金生产线，则当前贸易站订单获取效率+5%,鸿雪
物流规划·β,进驻贸易站时，订单获取效率+5%，每有2条赤金生产线，则当前贸易站订单获取效率额外+15%,图耶
新城贸易,进驻贸易站时，订单获取效率+25%，会客室每级额外提供5%获取效率，最多提供40%效率,伺夜
物流规划·α,进驻贸易站时，订单获取效率+5%，每有4条赤金生产线，则当前贸易站订单获取效率额外+15%,图耶
天生的顾问,进驻贸易站时，订单获取效率+15%，会客室每级额外提供5%获取效率，最多提供30%效率,渡桥
际崖居民,进驻贸易站时，基建内（不包含副手及活动室使用者）每1名杜林族干员（最多4名）为当前贸易站提供1条赤金生产线,鸿雪
订单流可视化·β,进驻贸易站时，订单获取效率+5%，每有2条赤金生产线，则为当前贸易站额外提供2条赤金生产线,绮良
订单流可视化·α,进驻贸易站时，订单获取效率+5%，每有4条赤金生产线，则为当前贸易站额外提供2条赤金生产线,绮良
钱不我待,进驻贸易站时，当前贸易站每级+1个订单上限,瑰盐
多面逢源,进驻贸易站时，当前贸易站每级+1个订单上限,佩佩
摊贩经济,进驻贸易站时，当前订单数与订单上限每差1笔订单，则订单获取效率+4%,孑
市井之道,进驻贸易站时，当前贸易站内其他干员提供的每10%订单获取效率使订单上限-1（订单最少为1），同时每有1笔订单就+4%订单获取效率（与部分技能有特殊叠加规则）,孑
虔诚筹款·β,进驻贸易站时，每间宿舍每级+2%获取效率,空弦
虔诚筹款·α,进驻贸易站时，每间宿舍每级+1%获取效率,空弦
乐感,进驻贸易站时，宿舍内每有1名干员则感知信息+1，同时每1点感知信息转化为1点无声共鸣,黑键
徘徊旋律,进驻贸易站时，每4点无声共鸣+1%订单效率,黑键
怅惘和声,进驻贸易站时，每2点无声共鸣+1%订单效率,黑键
“愿者上钩”,进驻贸易站时，宿舍内每有1名干员则人间烟火+1，同时每有1点人间烟火，则订单获取效率+1%,乌有
“孺子可教！”,进驻贸易站时，基建内（不包含副手及活动室）每有一间进驻岁干员的设施，订单获取效率+4%（最多5间）,风絮
精英小队,进驻贸易站时，订单获取效率+25%，基建内（不包含副手及活动室）每有一间进驻精英干员的设施，订单获取效率额外+2%（最多10间）,真言
裁缝·β,进驻贸易站时，提升当前贸易站高品质贵金属订单的出现概率（工作时长影响概率），心情每小时消耗-0.25,明椒；柏喙
手工艺品·β,进驻贸易站时，提升当前贸易站高品质贵金属订单的出现概率（工作时长影响概率），心情每小时消耗-0.25,卡夫卡
鉴定师的手段,进驻贸易站时，提升当前贸易站高品质贵金属订单的出现概率（工作时长影响概率），心情每小时消耗-0.25,折光
合同法,进驻贸易站时，如果下笔赤金订单交付数小于4，则视为违约订单,但书
违约索赔·α,进驻贸易站时，如果下笔赤金订单是违约订单，则赤金交付数额外+1,但书
违约索赔·β,进驻贸易站时，如果下笔赤金订单是违约订单，则赤金交付数额外+2,但书
裁缝·α,进驻贸易站时，小幅提升当前贸易站高品质贵金属订单的出现概率（工作时长影响概率），心情每小时消耗-0.25,巫恋；明椒；柏喙；贝娜
手工艺品·α,进驻贸易站时，小幅提升当前贸易站高品质贵金属订单的出现概率（工作时长影响概率），心情每小时消耗-0.25,卡夫卡
鉴定师的眼光,进驻贸易站时，小幅提升当前贸易站高品质贵金属订单的出现概率（工作时长影响概率），心情每小时消耗-0.25,折光
懂行,进驻贸易站时，小幅提升当前贸易站高品质贵金属订单的出现概率（工作时长影响概率），心情每小时消耗-0.25,渡桥
投资·β,进驻贸易站后，如果下笔赤金订单交付数大于3（违约订单不视作赤金订单），则其龙门币收益+500，心情每小时消耗-0.25,龙舌兰
投资·α,进驻贸易站后，如果下笔赤金订单交付数大于3（违约订单不视作赤金订单），则其龙门币收益+250，心情每小时消耗-0.25,龙舌兰
谈判,进驻贸易站时，订单上限+5，心情每小时消耗-0.25,史都华德；暗索；桃金娘
