skill_name,description,operators
古老巫术,进驻制造站时，每5点人间烟火转化为1点巫术结晶,截云
戏中人,进驻制造站时，作战记录类配方的生产力+35%，心情每小时消耗-0.25,酒神
镜中影,进驻制造站时，作战记录类配方的生产力+20%，心情每小时消耗-0.25,酒神
实干的寡言者,进驻制造站时，生产力+20%，每有1瓶乌萨斯特饮，则仓库容量上限+2,导火索
公证所教习·β,进驻制造站时，作战记录类配方的生产力+30%,圣约送葬人
公证所教习·α,进驻制造站时，作战记录类配方的生产力+20%,圣约送葬人
逆境荣光,进驻制造站时，作战记录类配方的生产力+35%,弑君者
拳术指导录像,进驻制造站时，作战记录类配方的生产力+35%,断罪者；食铁兽
“连轴转”,进驻制造站时，作战记录类配方的生产力+35%，心情每小时消耗+0.25,裂响
作战指导录像,进驻制造站时，作战记录类配方的生产力+30%,Castle-3；白雪；红豆；霜叶；食铁兽
原质塑金副产物,进驻制造站时，每个贸易站为当前制造站贵金属类配方的生产力+3%,引星棘刺
胜利之计,进驻制造站时，作战记录类配方的生产力+25%,帕拉斯
齐心沙盗,进驻制造站时，每间宿舍每级为贵金属类配方的生产力+1%,娜仁图亚
流程优化,进驻制造站时，当前制造站内其他干员提供的生产力全部归零（不包含根据设施数量提供加成的生产力），每个当前制造站内干员为当前制造站+10%生产力，仓库容量上限+5,冬时
科学改造,进驻制造站时，当前制造站内其他干员提供的生产力全部归零（不包含根据设施数量提供加成的生产力），每个当前制造站内干员为当前制造站仓库容量上限+5,冬时
盛餐的回报,进驻制造站时，当与酒神在同一个制造站时，作战记录类配方的生产力+30%,Miss.Christine
“搭把手！”,进驻制造站时，当与温米在同一个制造站时，贵金属类配方的生产力+15%,阿兰娜
机械精通·α,进驻制造站时，每有1台作业平台进驻发电站，贵金属类配方的生产力+5%,阿兰娜
机械精通·β,进驻制造站时，每有1台作业平台进驻发电站，贵金属类配方的生产力+10%,阿兰娜
稻禾厚，顺秋收,进驻制造站时，每3点人间烟火+1%生产力,黍
问枯荣,进驻制造站时，每1点巫术结晶+2%生产力,截云
逐水草,进驻制造站时，每1点巫术结晶+1%生产力,截云
绘图设计,进驻制造站时，基建内除活动室外每间设施每级+1个工程机器人，上限64个,至简
机械辅助·α,进驻制造站时，每16个工程机器人+5%生产力,至简
机械辅助·β,进驻制造站时，每8个工程机器人+5%生产力,至简
造价高昂,进驻制造站时，基建内（不包含副手及活动室使用者）每有1名莱茵生命干员（最多5名），贵金属类配方的生产力+3%,娜斯提
打工心得,进驻制造站时，当前制造站内每个金属工艺类技能为自身+5%的生产力,苍苔
挑大梁,进驻制造站时，基建内（不包含副手及活动室使用者）每有1名黑钢国际干员（最多3名），贵金属类配方的生产力+2%，心情每小时消耗-0.15,杏仁
金属工艺·β,进驻制造站时，贵金属类配方的生产力+35%,砾
金属工艺·α,进驻制造站时，贵金属类配方的生产力+30%,夜烟；引星棘刺；斑点；温米；苍苔
再生能源,进驻制造站时，每个贸易站为当前制造站贵金属类配方的生产力+20%,清流
例行清扫,进驻制造站后，生产力每小时+2%，最终达到+20%,阿罗玛
小奇思,进驻制造站时，贵金属类配方的生产力+25%，心情每小时消耗+0.25,杏仁
净味香氛,进驻制造站时，贵金属类配方的生产力+25%，心情每小时消耗+0.25,阿罗玛
莱茵科技·γ,进驻制造站时，生产力+30%,淬羽赫默
行动派,进驻制造站时，生产力+20%，仓库容量上限-8,钼铅
得心应手,进驻制造站时，生产力+25%，仓库容量上限+6,裁度
掘进工程,进驻制造站时，仓库容量上限+10，心情每小时消耗-0.25,洋灰
独当一面,进驻制造站时，生产力+30%，心情每小时消耗+0.25,雪猎
虔信,进驻制造站时，生产力+20%，心情每小时消耗+0.25,雪猎
量体裁衣,进驻制造站时，生产力+20%，心情每小时消耗+0.25,裁度
超感,进驻制造站时，宿舍内每有1名干员则感知信息+1，同时每1点感知信息转化为1点思维链环,迷迭香
念力,进驻制造站时，每2点思维链环+1%生产力,迷迭香
意识实体,进驻制造站时，每1点思维链环+1%生产力,迷迭香
手艺人,进驻制造站时，训练室每级为当前制造站+10%生产力，最多30%,维伊
配合意识,进驻制造站时，当前制造站内其他干员提供的每5%生产力（不包含根据设施数量提供加成的生产力），额外提供5%生产力，最多提供40%生产力,槐琥
差遣使魔·α,进驻制造站时，生产力+20%,玛露西尔
差遣使魔·β,进驻制造站时，生产力+30%,玛露西尔
意想不到的美味,进驻制造站时，每1点魔物料理+1%生产力,玛露西尔
咪波·制造型,进驻制造站时，生产力+30%,梅尔
